ProductID,SKU,Platform,Inventory,TInventory,Benchmark,PlatformID
LWDB_1,LWDB16174096,A,7.0,50.0,10.0,
LWDB_1,LWDB16174096,F,7.0,50.0,10.0,
LWDB_1,LWDB16174096SP,F,7.0,50.0,10.0,
LWDB_1,LWDB16174096,M,7.0,50.0,10.0,13168696
LWDB_1,LWDB16174096,SD,7.0,50.0,10.0,SDL456935297
LWDB_1,LWDB16174096,AJ,8.0,50.0,10.0,462308805001
LWDB_1,B08P8F9BDG,JM,7.0,50.0,10.0,
LWDB_1,LWDB16174096,NK,7.0,50.0,10.0,LEATH00000196
LWDB_2,LWDB19204059,A,1.0,10.0,10.0,
LWDB_2,PRIME-LWDB19204059,A,1.0,10.0,10.0,
LWDB_2,LWDB19204059,F,1.0,10.0,10.0,
LWDB_2,LWDB19204059,M,1.0,10.0,10.0,13074240
LWDB_2,LWDB20204060,SD,1.0,10.0,10.0,SDL090777042
LWDB_2,LWDB19204059,TQ,1.0,10.0,10.0,MP000000013949985
LWDB_2,LWDB19204060,AJ,2.0,10.0,10.0,462328890001
LWDB_2,B081X1DNJ5,JM,1.0,10.0,10.0,
LWDB_2,B082KYH91D,JM,1.0,10.0,10.0,
LWDB_2,LWDB19204059,NK,2.0,10.0,10.0,LEATH00000207
LWDB_3,LWDB19204089,A,5.0,39.0,10.0,
LWDB_3,PRIME-LWDB19204089,A,5.0,39.0,10.0,
LWDB_3,LWDB19204089,F,5.0,39.0,10.0,
LWDB_3,LWDB19204089,M,5.0,39.0,10.0,13074238
LWDB_3,LWDB19204089,SD,4.0,39.0,10.0,SDL505401936
LWDB_3,LWDB19204089,TQ,5.0,39.0,10.0,MP000000013949989
LWDB_3,LWDB19204089,AJ,5.0,39.0,10.0,462327854001
LWDB_3,B08NK29KNK,JM,5.0,39.0,10.0,
LWDB_3,LWDB19204089,NK,5.0,39.0,10.0,LEATH00000206
LWDB_4,LWDB19204061,A,3.0,28.0,10.0,
LWDB_4,PRIME-LWDB19204064,A,3.0,28.0,10.0,
LWDB_4,LWDB19204064,A,3.0,28.0,10.0,
LWDB_4,PRIME-LWDB19204061,A,3.0,28.0,10.0,
LWDB_4,LWDB19204061,F,4.0,28.0,10.0,
LWDB_4,LWDB19204064,F,4.0,28.0,10.0,
LWDB_4,LWDB19204061SP,F,4.0,28.0,10.0,
LWDB_4,LWDB19204064,M,3.0,28.0,10.0,13074236
LWDB_4,LWDB19204061,SD,3.0,28.0,10.0,
LWDB_4,LWDB19204061,TQ,4.0,28.0,10.0,MP000000013950001
LWDB_4,LWDB19204061,AJ,4.0,28.0,10.0,462364273001
LWDB_4,B082KYV571,JM,3.0,28.0,10.0,
LWDB_4,B082KYJ5KR,JM,3.0,28.0,10.0,
LWDB_4,LWDB19204064,NK,4.0,28.0,10.0,LEATH00000205
LWDB_5,LWDB19204084,A,2.0,16.0,10.0,
LWDB_5,"        
PRIME -LWDB19204084",A,2.0,16.0,10.0,
LWDB_5,LWDB19204084,F,2.0,16.0,10.0,
LWDB_5,LWDB19204084SP,F,2.0,16.0,10.0,
LWDB_5,LWDB16174084,M,2.0,16.0,10.0,
LWDB_5,LWDB19204084,M,2.0,16.0,10.0,11438640
LWDB_5,LWDB19204084,SD,2.0,16.0,10.0,SDL264187165
LWDB_5,LWDB19204084,TQ,2.0,16.0,10.0,MP000000013950000
LWDB_5,LWDB19204084,AJ,2.0,16.0,10.0,462329710001
LWDB_5,B0847L4798,JM,2.0,16.0,10.0,
LWDB_5,B0847L3MMY,JM,2.0,16.0,10.0,
LWDB_5,B081XBDXL1,JM,2.0,16.0,10.0,
LWDB_5,LWDB19204084,NK,2.0,16.0,10.0,LEATH00000204
LWDB_6,LWDB16174098,A,1.0,11.0,10.0,
LWDB_6,LWDB20214098,F,2.0,11.0,10.0,
LWDB_6,LWDB16174098,F,2.0,11.0,10.0,
LWDB_6,LWDB224098,F,2.0,11.0,10.0,
LWDB_6,LWDB16174098,M,1.0,11.0,10.0,14005110
LWDB_6,LWDB20214098,SD,1.0,11.0,10.0,SDL464232316
LWDB_6,LWDB224098,TQ,1.0,11.0,10.0,MP000000013949982
LWDB_6,LWDB16174098,AJ,2.0,11.0,10.0,462316625001
LWDB_6,B08ZYSLKMM,JM,1.0,11.0,10.0,
LWDB_6,LWDB16174098,NK,2.0,11.0,10.0,LEATH00000200
LWDB_7,LWDB16174099,A,6.0,47.0,10.0,
LWDB_7,LWDB16174099,F,6.0,47.0,10.0,
LWDB_7,LWDB224099,F,6.0,47.0,10.0,
LWDB_7,LWDB16174099SP,F,6.0,47.0,10.0,
LWDB_7,LWDB20214099,F,6.0,47.0,10.0,
LWDB_7,LWDB16174099,M,6.0,47.0,10.0,14005112
LWDB_7,LWDB20214099,SD,5.0,47.0,10.0,SDL447342892
LWDB_7,LWDB224099,TQ,6.0,47.0,10.0,MP000000013949981
LWDB_7,LWDB20214099,TQ,6.0,47.0,10.0,MP000000013950034
LWDB_7,LWDB16174099,AJ,6.0,47.0,10.0,462364178001
LWDB_7,B08ZYR2K2V,JM,6.0,47.0,10.0,
LWDB_7,LWDB16174099,NK,6.0,47.0,10.0,LEATH00000201
LWDB_8,LWDB214102,A,0.0,0.0,10.0,
LWDB_8,LWDB214102,M,0.0,0.0,10.0,15588202
LWDB_8,LWDB214102,SD,0.0,0.0,10.0,SDL484128535
