amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
403-2480077-1032364,,2023-06-19T17:25:00+00:00,2023-06-19T17:40:30+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather Gifts Leatherette 6 Slots Watch Box Case Organizer Storage Men Women Holder (Black),LGWC20216140,B08M3SCS77,Unshipped,1,INR,649,69.54,,,,,,,NEW DELHI,DELHI,110051,IN,,FALSE,,,Easy Ship,FALSE
404-7127163-8352321,,2023-06-19T17:24:59+00:00,2023-06-19T17:39:52+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather Gifts Leatherette 6 Slots Watch Box Case Organizer Storage Men Women Holder (Black),LGWC20216140,B08M3SCS77,Unshipped,1,INR,649,69.54,,,,,,,HYDERABAD,TELANGANA,500004,IN,,FALSE,,,Easy Ship,FALSE
171-5937535-9621900,,2023-06-19T15:21:38+00:00,2023-06-19T15:37:02+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 10 Slots Faux Leather Men Watch Box Display Organizer Case Women Storage Jewellery - Tan,LGWC20216106,B07BGVBYDZ,Unshipped,1,INR,799,85.61,,,,,,,BANGALORE,KARNATAKA,560050,IN,,FALSE,,,Easy Ship,FALSE
403-8633245-2684341,,2023-06-19T15:19:33+00:00,2023-06-19T15:32:34+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World PU Leather 4 Slot Watch Box Organizer Case Storage Box Watches Men Women (Beige- Plain),LGWC20216097,B08M3ZR6ZC,Unshipped,1,INR,399,60.86,,,,,,,Bengaluru,KARNATAKA,560041,IN,,FALSE,,,Easy Ship,FALSE
405-1383341-2874738,,2023-06-19T14:38:27+00:00,2023-06-19T14:53:14+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 4 Slots of Watche Case for Men and Women(TAN),4 PLAIN TAN,B0C6MPYKL1,Unshipped,1,INR,399,42.75,,,,,,,VELLORE,TAMIL NADU,632007,IN,,FALSE,,,Easy Ship,FALSE
404-6136424-8034732,,2023-06-19T13:40:12+00:00,2023-06-19T13:55:25+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 4 Slots of Watche Case for Men and Women(TAN),4 PLAIN TAN,B0C6MPYKL1,Unshipped,1,INR,399,42.75,,,,,,,HYDERABAD,TELANGANA,500018,IN,,FALSE,,,Easy Ship,FALSE
403-1867332-4601951,,2023-06-19T13:03:36+00:00,2023-06-19T13:18:48+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather Gifts Leatherette 6 Slots Watch Box Case Organizer Storage Men Women Holder (Black),LGWC20216140,B08M3SCS77,Unshipped,1,INR,649,69.54,,,,,,,RAYBAG,KARNATAKA,591317,IN,,FALSE,,,Easy Ship,FALSE
406-5225248-2454746,,2023-06-19T12:57:18+00:00,2023-06-19T13:11:48+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,Kolkata,WEST BENGAL,700054,IN,,FALSE,,,Easy Ship,FALSE
171-2488142-6950706,,2023-06-19T12:55:21+00:00,2023-06-19T13:10:25+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,JAIPUR,RAJASTHAN,302019,IN,,FALSE,,,Easy Ship,FALSE
171-9147104-4965157,,2023-06-19T12:35:52+00:00,2023-06-20T04:50:23+00:00,Pending - Waiting for Pick Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,Hyderabad,TELANGANA,500050,IN,,FALSE,,,Easy Ship,FALSE
402-9355974-4849162,,2023-06-19T12:01:08+00:00,2023-06-19T12:16:15+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,RIICO INDUSTRIAL AREA RUPANGARH,RAJASTHAN,305814,IN,,FALSE,,,Easy Ship,FALSE
402-8914059-2631524,,2023-06-19T10:38:07+00:00,2023-06-19T10:53:03+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,Pune,Maharashtra,411007,IN,,FALSE,,,Easy Ship,FALSE
