order_id,order_date,sku,quantity,platformID,platform
47950249231,2023-01-01,LWSB19203019B,1,SDL195490127,SD
47950287418,2023-01-01,LWSB16173019,1,SDL079991245,SD
406-3972626-0213168,2023-01-01,LWDB19204063,1,B082KXC17D,A
404-8334420-1933967,2023-01-01,LWWC16176094,2,B0779BZV2M,A
47948496316,2023-01-01,LWDB22101,1,SDL063440646,SD
47948630990,2023-01-01,LWSB19203019B,1,SDL195490127,SD
47948575362,2023-01-01,LWSB19203019B,1,SDL195490127,SD
47950236650,2023-01-01,LWHK2020101,1,SDL422544756,SD
47948810042,2023-01-01,LWSB02,1,SDL040469367,SD
OD426941032846126100,2023-01-01,LWSB16173008B,1,SLBFEBXAGUBKGHWX,F
47948630299,2023-01-01,LWSB19203019B,1,SDL195490127,SD
47949431043,2023-01-01,LWHK2021101,1,SDL039058156,SD
47950492788,2023-01-01,LWSB19203019B,1,SDL195490127,SD
47949276286,2023-01-01,LWSB19203019B,1,SDL195490127,SD
47948690450,2023-01-01,34LWGW2222,1,SDL671303753,SD
47948741302,2023-01-01,LWOB16171124,1,SDL476917408,SD
47948900150,2023-01-01,LWSB19203016,1,SDL321052458,SD
47948855381,2023-01-01,LWOB202104,1,SDL098372178,SD
406-7025658-6940336,2023-01-01,LWWC16176094,1,B0779BZV2M,A
47949697078,2023-01-01,LWSB19203019B,1,SDL195490127,SD
OD326941862315253100,2023-01-01,LWBP20213011,1,SLBFWG9WERXYVXM5,F
OD426942211166841100,2023-01-01,LWBP19203067,1,BKPFG8THNGPXNJXZ,F
403-4210591-2041953,2023-01-01,LWBP19203078,1,B07S4G9WXS,A
405-1067749-1804335,2023-01-01,LWWC20216077,1,B08KTD8K7J,A
406-5719966-8653142,2023-01-01,LWWC16176094,1,B0779BZV2M,A
230101-024-094118,2023-01-01,LWOB19201068,1,0,TQ
OD426941577973147100,2023-01-01,LWSB16173009,1,SLBFE56HUNGGCTUG,F
OD426941532250163100,2023-01-01,LWWC16176094B,1,WHBFECANGMSZABDF,F
OD426941094738394100,2023-01-01,LWSB16173015,1,SLBFDGZRXW5NBZNU,F
407-8360880-0275525,2023-01-01,LWWC16176094,1,B0779BZV2M,A
OD326941443741423100,2023-01-01,LWSB16173008B,1,SLBFEBXAGUBKGHWX,F
OD426941353262274100,2023-01-01,LWDB19204084,1,DFBFZGJWM6GJ88ZV,F
OD426941381793409100,2023-01-01,LWDB19204059,1,DFBFNYYQBPEZ3SBF,F
OD426941381793409100,2023-01-01,LWDB20214097,1,DFBGFGCWHGKF36TV,F
OD426941370997893100,2023-01-01,LWGW2223,1,BELGGJHNGVGAQ7MU,F
404-0172050-0195524,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
OD426941348819329100,2023-01-01,LWWC16176094B,1,WHBFECANGMSZABDF,F
47950504965,2023-01-01,LWSB02,1,SDL040469367,SD
230101-024-101636,2023-01-01,LWOB202102,1,0,TQ
OD326942862490415100,2023-01-01,LWOB16171122B,1,LTBFEC5R7NMFCY8Z,F
OD426942003751106100,2023-01-01,LWWC16176138,1,WHBFNUGWF4QMNGUP,F
OD426941124155917100,2023-01-01,LWHK2020106,1,RKSFNQTZQZMMM4H7,F
OD326941992578305100,2023-01-01,LWSB19203024,1,SLBFN3G89QPUGGZB,F
OD426941923346667100,2023-01-01,LWSB16173009,1,SLBFE56HUNGGCTUG,F
OD426941871016457100,2023-01-01,LWWC161761340,1,WHBFZW48CTH8AFH8,F
OD326941797294877100,2023-01-01,LWSB19203022,1,SLBFGHSGCGKDMQRT,F
230101-024-102861,2023-01-01,LWSB19203026,1,0,TQ
OD326941738083434100,2023-01-01,LWHK2020103,1,RKSFNJ8M6Z4FY4YG,F
OD326941650064252100,2023-01-01,LWTP202102,1,TSKGFGHZMHJWHBJ7,F
230101-024-113201,2023-01-01,LWOB16171121,1,0,TQ
230101-024-115609,2023-01-01,LWSB19203022,1,0,TQ
408-4536074-2873968,2023-01-01,LWWC16176094,1,B0779BZV2M,A
230101-024-098332,2023-01-01,LWDB214104,1,0,TQ
230101-024-101431,2023-01-01,LWGW2217,1,0,TQ
OD426941680513076100,2023-01-01,LWSB19203021,1,SLBFGHSATKZMNBJ4,F
406-3972626-0213168,2023-01-01,LWDB20204060,1,B081X1DNJ5,A
OD326942987059110100,2023-01-01,LWWC161761340,1,WHBFZW48CTH8AFH8,F
405-5616211-9174768,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
OD326938742444542100,2023-01-01,LWHK2020105,1,RKSFNQTZZYHSTDF6,F
OD326939014359978100,2023-01-01,LWWC16176094B,1,WHBFECANGMSZABDF,F
404-9558425-0848333,2023-01-01,PRIME-LWWC16176077,1,B072FDG4ZY,A
405-7426255-7445164,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
171-6868872-6931531,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
171-1725104-6085915,2023-01-01,LWMB19202029B,1,B07RM211F6,A
406-0138801-2085145,2023-01-01,PRIME-LWWC20216139,1,B08LS5WT3J,A
405-3067299-1213963,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
OD326939018316629100,2023-01-01,LWSB16173009,1,SLBFE56HUNGGCTUG,F
171-3457142-6061160,2023-01-01,PRIME-LWBP19203084,1,B07SNP6SZD,A
408-9645018-4063567,2023-01-01,PRIME-LWWC16176140,1,B084MK46HJ,A
171-2242328-6981101,2023-01-01,PRIME-LWWC16176059B,1,B07PHZ1JML,A
406-5053493-2753123,2023-01-01,PRIME-LWBP19203084,1,B07SNP6SZD,A
171-6875913-5621920,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
405-7972750-2841945,2023-01-01,PRIME-LWOB19201079,1,B084C52Z6M,A
OD326939032949457100,2023-01-01,LWHK2020103,1,RKSFNJ8M6Z4FY4YG,F
OD326939032949457100,2023-01-01,LWHK2020103,1,RKSFNJ8M6Z4FY4YG,F
404-6871922-1847524,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
405-5022486-8856351,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
408-0186290-7497903,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
404-7492755-3493158,2023-01-01,PRIME-LWOB16171132,1,B07JCBGYT9,A
407-2082945-4057113,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
402-7310316-9020306,2023-01-01,PRIME-LWWC16176105C,1,B07KYQD52P,A
404-8924553-4109168,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
402-6240523-9914719,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
406-7963381-2516327,2023-01-01,PRIME-LWWC16176105C,1,B07KYQD52P,A
171-6875913-5621920,2023-01-01,PRIME-LWWC16176105C,1,B07KYQD52P,A
402-7060225-4560317,2023-01-01,PRIME-LWWC16176104B,1,B07PFV29ZM,A
171-8912948-8488325,2023-01-01,LWWC20216110,1,B08LNM3X1R,A
403-4379110-3188317,2023-01-01,PRIME-LWWC16176141,1,B084MKF1S8,A
OD426936848628507100,2023-01-01,LWOB202103,1,BAGG463ZEXYHESNH,F
OD426937175533194100,2023-01-01,FLYOB202109,1,BAGG4YGHNCJTKGHA,F
OD426937213843800100,2023-01-01,LWDB224098,1,DFBGBFY4VVDQHWXY,F
OD226937786463738000,2023-01-01,LWSB192003025,1,YGGGAH5MY3QVCPGK,F
OD326938344323583100,2023-01-01,LWWC16176135,1,WHBFNUGYJQYSXDCW,F
408-6570867-1934762,2023-01-01,LWWC16176066C,1,B07KYQT9DY,A
407-0289024-8040302,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
404-7118539-0329140,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
406-2500460-0800326,2023-01-01,PRIME-LWWC16176059B,1,B07PHZ1JML,A
404-1742356-4644315,2023-01-01,PRIME-LWWC16176140,1,B084MK46HJ,A
408-8423868-8169950,2023-01-01,PRIME-LWWC16176104B,1,B07PFV29ZM,A
403-1228306-1401156,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
171-2050327-4269900,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
408-2258222-3280366,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
405-6830231-5783516,2023-01-01,PRIME-LWBP19203083,1,B07SNP7V72,A
405-1638113-7210714,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
404-2114012-1468333,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
407-9130768-4985915,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
405-7206875-2324310,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
402-0503024-9042760,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
407-4557400-5885116,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
406-8183210-1700361,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
406-7810030-9487508,2023-01-01,PRIME-LWWC20216140,2,B08LT1D3TY,A
403-5686730-4230726,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
403-1764967-1061143,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
171-5234470-3094736,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
405-6128894-3458705,2023-01-01,PRIME-LWWC16176135,1,B0779969J9,A
408-6071661-6911524,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
OD326940959576549100,2023-01-01,LWSB21501SP,1,SLBGAK2HZRRSDBWK,F
402-6921773-6836342,2023-01-01,PRIME-LWWC20216140,1,B08LT1D3TY,A
408-7209963-2751538,2023-01-01,PRIME-LWBP19203084,1,B07SNP6SZD,A
171-0751265-5087525,2023-01-01,LWWC16176094,1,B0779BZV2M,A
405-1991818-4329124,2023-01-01,LWWC16176094,1,B0779BZV2M,A
403-2987237-7259565,2023-01-01,LWWC16176094,1,B0779BZV2M,A
405-0106768-2386778,2023-01-01,LWWC16176094,1,B0779BZV2M,A
408-1780144-4711556,2023-01-01,LWDB16174098,1,B08ZYSLKMM,A
403-9905803-4859548,2023-01-01,LWWC16176094,1,B0779BZV2M,A
408-4203570-8534720,2023-01-01,LWWC16176094,1,B0779BZV2M,A
407-7377893-3391562,2023-01-01,LWDB16174098,1,B08ZYSLKMM,A
405-3359510-8715567,2023-01-01,LWSB16173017B,1,B07MY71XSP,A
408-3871067-6590764,2023-01-01,LWWC16176094,1,B0779BZV2M,A
404-2615149-9646740,2023-01-01,LWWC20216077,1,B08KTD8K7J,A
171-3498140-4274752,2023-01-01,LWWC16176094,1,B0779BZV2M,A
408-0799498-1357163,2023-01-01,LWWC16176092B,1,B07PDXGR22,A
171-2002541-3317933,2023-01-01,LWWC16176094,1,B0779BZV2M,A
171-5597987-6432306,2023-01-01,LWSB16173016B,1,B07MY5WP7S,A
402-7499648-9249100,2023-01-01,LWWC20216077,1,B08KTD8K7J,A
171-4206953-8885935,2023-01-01,LWWC20216115,1,B08LH752FN,A
OD226940667577784000,2023-01-01,LWSB19203026SP,1,YGGGAH5RYHQYHHGX,F
