order_id,order_date,sku,quantity,platformID,platform
402-5402906-4722751,29-04-2023,PRIME-LWWC16176139,2,B07PW7LKX2,A
406-5884921-2937148,29-04-2023,LWWC20216140,1,B084MK46HJ,A
403-1727097-9206709,29-04-2023,LWWC20216140,1,B084MK46HJ,A
407-4405191-8627535,29-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
408-4596652-7429112,29-04-2023,LWWC20216140,1,B084MK46HJ,A
408-1441846-5625157,29-04-2023,LWWC20216140,1,B084MK46HJ,A
171-1730037-3723516,29-04-2023,LWWC16176104B,1,B07PFV29ZM,A
408-5761320-9009934,29-04-2023,LWWC16176104B,1,B07PFV29ZM,A
402-7295001-2733156,29-04-2023,LWWC20216140,1,B084MK46HJ,A
402-4304063-7177145,29-04-2023,LWOB19201079,1,B084C52Z6M,A
403-2375178-4874752,29-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-2305499-9654720,29-04-2023,FLYOB202105,1,B08ZDFVQ4V,A
406-7006424-8647533,29-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-6480399-1009128,29-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
403-4145025-6073109,29-04-2023,LWWC16176140,1,B084MK46HJ,A
403-1755848-9683519,29-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-6380546-1621920,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-1817233-0376344,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
405-7268238-3673108,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-1144800-4799527,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
406-6712140-0265154,30-04-2023,OU-M4QQ-SBA5,1,B084D9SH3C,A
403-0535481-0522763,30-04-2023,LWOB19201079,1,B084C52Z6M,A
408-5730262-4758729,30-04-2023,LWWC20216114,1,B08LNMG9H1,A
404-8247009-1111562,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
406-0933946-0941143,30-04-2023,LWWC16176140,1,B084MK46HJ,A
402-6155507-9472354,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-5754500-1001940,30-04-2023,LWDB16174014,1,B078WVLKT3,A
408-4639279-7473107,30-04-2023,LWWC16176140,1,B084MK46HJ,A
407-1422510-6021106,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-1362561-5524369,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-1170122-4566755,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
408-2386407-9541937,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
405-5201399-0899552,30-04-2023,LWWC16176140,1,B084MK46HJ,A
404-4473386-8625141,30-04-2023,LWWC16176140,1,B084MK46HJ,A
402-7675326-2805149,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
405-6874800-2804335,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
403-5384010-3021150,30-04-2023,LWWC16176140,1,B084MK46HJ,A
407-8533552-3224310,30-04-2023,LWDB16174096,3,B08P8F9BDG,A
171-6154372-2172355,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
406-0605377-4740369,30-04-2023,LWWC16176050B,1,B0779969J9,A
402-1257193-1040352,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
408-7538241-8330700,30-04-2023,LWWC16176140,1,B084MK46HJ,A
403-5847820-7133131,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
48940228729,30-04-2023,LWWC19206091,1,SDL568452355,SD
48940350280,30-04-2023,LWWC19206091,1,SDL568452355,SD
230430-026-072266,30-04-2023,LWSB16173015,1,0,TQ
230430-026-073043,30-04-2023,LWSB16173009,1,0,TQ
230430-026-069784,30-04-2023,LWSB19203025,1,0,TQ
230430-026-071734,30-04-2023,LWSB19203026,1,0,TQ
230430-026-068948,30-04-2023,LWSB16173015,1,0,TQ
230430-026-068686,30-04-2023,LWSB16173015,1,0,TQ
OD327968320113838100,30-04-2023,LWDB19204084,1,DFBFZGJWM6GJ88ZV,F
OD327970931464716100,30-04-2023,LWHK2020103,1,RKSFNJ8M6Z4FY4YG,F
230430-026-078149,30-04-2023,LWSB19203025,1,0,TQ
230430-026-075224,30-04-2023,LWSB16173009,1,0,TQ
230430-026-076952,30-04-2023,LWSB16173018,1,0,TQ
230430-026-080733,30-04-2023,LWSB21501,1,0,TQ
405-9997733-5327554,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
230430-026-074257,30-04-2023,LWSB21501,1,0,TQ
230430-026-079911,30-04-2023,LWSB19203022,1,0,TQ
230430-026-081130,30-04-2023,LWSB21501,1,0,TQ
230430-026-083322,30-04-2023,LWSB19203024,1,0,TQ
OD427971044621167100,30-04-2023,LWWC16176094B,1,WHBFECANGMSZABDF,F
OD127971173055677000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD227967852745313000,30-04-2023,LWSB19203024SP,1,YGGGAH5B4RPGZXVY,F
OD427964903839964100,30-04-2023,LWDB19204062,1,DFBFMZ89PBVHKMJR,F
OD327973202323018100,30-04-2023,LWGW2215,1,BELGGH9HUY4YTDJ3,F
OD327965507917621100,30-04-2023,LWBP20213013,1,SLBFZHQCZF8BYGMP,F
402-2207302-6173159,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
406-0913711-8110730,30-04-2023,LWWC16176050B,1,B0779969J9,A
405-6717652-2250700,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
230430-026-076178,30-04-2023,LWSB19203024,1,0,TQ
406-6027609-4873941,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
404-5888527-7989929,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
407-0966822-7524319,30-04-2023,LWWC16176077,1,B072FDG4ZY,A
402-2577385-5354717,30-04-2023,LWWC20216140,1,B084MK46HJ,A
406-0536314-5977106,30-04-2023,LWWC20216140,2,B084MK46HJ,A
406-5510556-0777912,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
404-0063901-1638771,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-2266200-4190758,30-04-2023,LWOB16171124,1,B07JVCWQ4X,A
402-4519261-7354766,30-04-2023,LWWC20216140,1,B084MK46HJ,A
406-3008225-8161916,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-6672454-9201153,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-1911908-7995522,30-04-2023,LWWC20216140,1,B084MK46HJ,A
408-9400834-1331501,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
405-6781145-1321160,30-04-2023,LWWC16176105,1,B07BGVJYMG,A
407-3007860-2145132,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
406-0203999-0316372,30-04-2023,LWWC20216140,1,B084MK46HJ,A
407-1171561-3420344,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-7156422-2169166,30-04-2023,4TANWINDOW,1,B0BSS42XKM,A
402-6141839-6569126,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
403-8261535-3758718,30-04-2023,LWWC20216140,1,B084MK46HJ,A
171-2703817-3401953,30-04-2023,PRIME-LWHK2020102,1,B0837TDP66,A
407-3043024-3783554,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-8600569-1522713,30-04-2023,LWOB19201080,1,B084C461NB,A
403-0514510-6343562,30-04-2023,LWWC20216140,1,B084MK46HJ,A
404-8578819-0261104,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
404-0467609-6910751,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
407-6585574-9570728,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-6966424-5385938,30-04-2023,PRIME-LWWC16176094,2,B0779BZV2M,A
402-2283432-7333106,30-04-2023,LWDB19204084,1,B0847L4798,A
405-3272069-4717150,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-4108497-6804309,30-04-2023,LWWC16176050B,1,B0779969J9,A
408-4715822-0209140,30-04-2023,LWWC16176050B,1,B0779969J9,A
402-8614167-0321105,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
407-8571122-7895523,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
406-8238869-8581159,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
408-5123028-1708320,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-3109255-0520335,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
403-6739869-6236338,30-04-2023,PRIME-LWWC16176009,1,B01JOX84GU,A
407-3991748-3420369,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-3430324-2131537,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
406-0404197-3650763,30-04-2023,LWDB19204064,1,B082KYJ5KR,A
402-2456123-9836340,30-04-2023,LWWC20216140,1,B084MK46HJ,A
402-6406994-2467526,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
406-8464100-8409942,30-04-2023,LWWC16176140,1,B084MK46HJ,A
404-1398695-3941116,30-04-2023,LWWC20216114,1,B08LNMG9H1,A
403-0496415-8677101,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-4367717-6725127,30-04-2023,LWWC16176050B,1,B0779969J9,A
403-7218473-1493154,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
171-4020280-6618705,30-04-2023,PRIME-LWBP19203084,1,B07SNP6SZD,A
403-2839489-8869168,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-7992211-5950711,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
407-4454654-3053904,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
408-1370225-5917158,30-04-2023,LWWC16176140,1,B084MK46HJ,A
402-3078352-9608300,30-04-2023,LWWC20216140,1,B084MK46HJ,A
404-3317635-0314731,30-04-2023,LWSB16173016B,1,B07MY5WP7S,A
407-0305964-2533924,30-04-2023,LWWC16176050B,1,B0779969J9,A
230430-026-072162,30-04-2023,LWSB19203022,1,0,TQ
408-1776431-3953129,30-04-2023,LWWC20216140,1,B084MK46HJ,A
407-7917239-4113166,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
406-4258943-6253960,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
