order_id,order_date,sku,quantity,platformID,platform
230512-026-253602,2023-05-12,LWDB224098,1,0,TQ
230512-026-249803,2023-05-12,LWSB16173015,1,0,TQ
230512-026-255039,2023-05-12,LWSB19203026,1,0,TQ
230512-026-250057,2023-05-12,LWSB19203024,1,0,TQ
230512-026-252064,2023-05-12,LWSB16173015,1,0,TQ
230512-026-248237,2023-05-12,LWSB21501,1,0,TQ
230512-026-247699,2023-05-12,LWOB202104,1,0,TQ
230512-026-253499,2023-05-12,LWSB16173015,1,0,TQ
230512-026-250057,2023-05-12,LWSB19203024,1,0,TQ
230512-026-248969,2023-05-12,LWSB16173015,1,0,TQ
230512-026-248325,2023-05-12,LWSB16173015,1,0,TQ
230512-026-249744,2023-05-12,LWSB16173015,1,0,TQ
230512-026-257047,2023-05-12,LWSB16173008,1,0,TQ
230512-026-254298,2023-05-12,LWSB16173015,1,0,TQ
230512-026-244524,2023-05-12,LWSB16173015,1,0,TQ
230512-026-249372,2023-05-12,LWSB16173015,1,0,TQ
230512-026-252159,2023-05-12,LWSB19203025,1,0,TQ
230512-026-246821,2023-05-12,LWSB16173015,1,0,TQ
230512-026-253016,2023-05-12,LWSB19203024,1,0,TQ
230512-026-246317,2023-05-12,LWSB16173008,1,0,TQ
230512-026-245908,2023-05-12,LWSB16173015,1,0,TQ
230512-026-252761,2023-05-12,LWSB16173015,1,0,TQ
230512-026-251533,2023-05-12,LWSB16173015,1,0,TQ
230512-026-251930,2023-05-12,LWSB19203025,1,0,TQ
230512-026-250638,2023-05-12,LWSB16173015,1,0,TQ
230512-026-248426,2023-05-12,LWSB16173015,1,0,TQ
230512-026-255146,2023-05-12,LWSB19203025,1,0,TQ
230512-026-256794,2023-05-12,LWSB19203022,1,0,TQ
230512-026-253386,2023-05-12,LWSB19203022,1,0,TQ
230512-026-248793,2023-05-12,LWSB19203022,1,0,TQ
230512-026-255555,2023-05-12,LWSB19203022,1,0,TQ
230512-026-255476,2023-05-12,LWSB19203025,1,0,TQ
230512-026-250552,2023-05-12,LWSB19203022,1,0,TQ
230512-026-256794,2023-05-12,LWSB16173015,1,0,TQ
230512-026-255467,2023-05-12,LWSB16173015,1,0,TQ
