order_id,order_date,sku,quantity,platformID,platform
407-6709938-3172355,2023-05-19,LGWC20216140,1,B08M3SCS77,A_LG
406-2972449-4381126,2023-05-20,FLYBP20213016,1,B08NTG4GFM,A_LG
403-2707731-9385920,2023-05-20,LGWC20216140,1,B08M3SCS77,A_LG
171-0190017-3530713,2023-05-20,LGWC20216140,1,B08M3SCS77,A_LG
402-2392034-7491549,2023-05-21,LGWC20216104,1,B08M8T49D1,A_LG
405-8591023-7212365,2023-05-21,LGWC20216104,1,B08M8T49D1,A_LG
171-0283835-3575568,2023-05-21,LGHK20201103,1,B083ZZL6FF,A_LG
404-7029057-4003536,2023-05-21,FLYWC16176113,1,B0C1NZ44W8,A_LG
403-5959354-5448314,2023-05-21,LGSB19203023,1,B0BYSWK693,A_LG
402-4343757-1352312,2023-05-21,LGWC20216092,1,B08M9L4757,A_LG
403-1969916-7833946,2023-05-22,LGWC20216092,1,B08M9L4757,A_LG
171-5369059-3183535,2023-05-22,LEATHERGIFTSDB16174098,1,B09RGZM64S,A_LG
171-6431119-7696339,2023-05-22,LGDB19204063,1,B09RH4VJ5B,A_LG
407-3010081-2232305,2023-05-22,LGWC20216104,1,B08M8T49D1,A_LG
406-6971957-7493928,2023-05-22,LGBP18193084,1,B07ZLV5BS1,A_LG
408-3324087-1173122,2023-05-22,LGWC20216140,1,B08M3SCS77,A_LG
405-0350368-5297944,2023-05-23,FLYSB215001,1,B09GVZKWJ1,A_LG
408-9860250-1433140,2023-05-23,LG6077,1,B07QKC3VWF,A_LG
171-2122620-9093927,2023-05-23,FLYWC16176115,1,B0C1NV3R7J,A_LG
405-1610832-7383553,2023-05-23,LGHK20201102,1,B083ZZQJ12,A_LG
405-0524014-6934731,2023-05-23,LGDB16174098,1,B098B9T4QP,A_LG
171-5212515-2676327,2023-05-23,LGWC20216140,1,B08M3SCS77,A_LG
403-0759687-0796303,2023-05-24,LEATHERGIFTSBP18193082,1,B07SVQKSP9,A_LG
408-1854467-6221939,2023-05-24,LGWC20216140,1,B08M3SCS77,A_LG
171-4518740-3937907,2023-05-25,LEATHERGIFTSDB16174098,1,B09RGZM64S,A_LG
408-1574668-3033162,2023-05-25,LGWC20216140,1,B08M3SCS77,A_LG
403-6872808-6439544,2023-05-25,LGWC20216140,1,B08M3SCS77,A_LG
408-1509380-1529137,2023-05-26,LGDB19204061,1,B09RH61DCD,A_LG
408-3858230-7557946,2023-05-26,LGWC20216104,1,B08M8T49D1,A_LG
402-1748352-0887534,2023-05-26,UA-862R-7HFS,1,B0C53SHJHD,A_LG
406-0910767-3249133,2023-05-26,LGWC20216140,1,B08M3SCS77,A_LG
408-3392698-1365904,2023-05-26,LEATHERGIFTSSB18193015,1,B07RHSMGM7,A_LG
405-9730794-7079551,2023-05-27,LGSB19203024,1,B0BYSWPCG7,A_LG
408-3697468-2615510,2023-05-27,LGWC20216097,1,B08M3ZR6ZC,A_LG
171-6340160-8625155,2023-05-27,LGWC20216097,1,B08M3ZR6ZC,A_LG
405-8700916-9869909,2023-05-27,LGWC20216140,1,B08M3SCS77,A_LG
406-8696398-6889966,2023-05-28,LGWC20216140,1,B08M3SCS77,A_LG
404-3135699-6329923,2023-05-28,LGWC20216097,11,B08M3ZR6ZC,A_LG
408-9887750-8278743,2023-05-28,LGDB16174098,1,B098B9T4QP,A_LG
406-9657261-0102712,2023-05-28,LG6077,1,B07QKC3VWF,A_LG
407-4416742-7263569,2023-05-28,LGWC20216104,1,B08M8T49D1,A_LG
171-6675716-4901953,2023-05-28,FLYBP20213012,1,B08NTGD8QW,A_LG
403-2482590-0802725,2023-05-29,FLYBP20213015,1,B08NTFCMZD,A_LG
407-2771242-1841908,2023-05-29,FLYOB202110,1,B09BFG5XBF,A_LG
408-2737618-6051517,2023-05-29,LGWC20216104,1,B08M8T49D1,A_LG
407-6286406-0736363,2023-05-29,LGDB16174098,1,B098B9T4QP,A_LG
407-7289204-4981145,2023-05-29,LGDB16174099,1,B098BCJY1T,A_LG
403-7089756-6301104,2023-05-29,LGDB16174059,1,B0BYSHKSCX,A_LG
406-6125636-4749932,2023-05-30,LGWC20216140,1,B08M3SCS77,A_LG
407-9761494-4439542,2023-05-30,LGWC20216140,1,B08M3SCS77,A_LG
171-8889308-5107538,2023-05-30,LGWC20216104,1,B08M8T49D1,A_LG
406-0840388-7065131,2023-05-30,LGWC20216140,1,B08M3SCS77,A_LG
407-4552944-1450734,2023-05-30,LGWC20216140,1,B08M3SCS77,A_LG
404-2758488-4194754,2023-05-30,LGWC20216092,1,B08M9L4757,A_LG
403-5328448-9312316,2023-05-30,LGWC20216104,1,B08M8T49D1,A_LG
171-3886716-6085159,2023-05-30,LGWC20216140,1,B08M3SCS77,A_LG
405-2440836-8338726,2023-05-30,UA-862R-7HFS,1,B0C53SHJHD,A_LG
406-1460158-4845111,2023-05-30,LGWC20216140,1,B08M3SCS77,A_LG
404-4779037-4293108,2023-05-30,LWWC20216094,1,B0779BZV2M,A_LG
407-1783579-8623555,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
406-9241058-7785916,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
403-7973866-8833942,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
405-3186855-3803545,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
404-1190065-1026700,2023-05-31,LGWC20216077,1,B08M3RGWYD,A_LG
171-6517541-7840328,2023-05-31,LGWC20216140,2,B08M3SCS77,A_LG
404-7130669-5267566,2023-05-31,LGWC20216097,1,B08M3ZR6ZC,A_LG
406-4137486-4501113,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
171-4137853-2396367,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
403-8327921-0708327,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
406-1140981-5625169,2023-05-31,LGDB16174099,1,B098BCJY1T,A_LG
408-5398080-0609145,2023-05-31,LGWC20216104,1,B08M8T49D1,A_LG
171-3860680-6030732,2023-05-31,FLYBP20213016,1,B08NTG4GFM,A_LG
405-6757996-2946720,2023-05-31,LWWC20216094,1,B0779BZV2M,A_LG
171-9802701-8754762,2023-05-31,LG6077,1,B07QKC3VWF,A_LG
407-3684532-1378726,2023-05-31,LGWC20216140,1,B08M3SCS77,A_LG
403-5753538-3641148,2023-05-31,LGWC20216104,1,B08M8T49D1,A_LG
