order_id,order_date,sku,quantity,platformID,platform
403-0759687-0796303,2023-05-24,LEATHERGIFTSBP18193082,1,B07SVQKSP9,A_LG
407-9957378-1749965,2023-06-03,LEATHERGIFTSBP18193067,1,B07S9YPK39,A_LG
402-6563351-4618728,2023-06-06,LEATHERGIFTSSB18193021,1,B07S34V42F,A_LG
171-0889759-5525107,2023-06-09,FLYWC6081,1,B0C6R3F7SN,A_LG
408-3584887-5961916,2023-06-10,LEATHERGIFTSSB18193022,1,B07S48C66K,A_LG
171-4703524-0409123,2023-06-11,FLYWC6081,1,B0C6R3F7SN,A_LG
402-4335989-2330732,2023-06-12,LEATHERGIFTSSB18193021,1,B07S34V42F,A_LG
402-7174011-9163507,2023-06-16,FLYWC6081,1,B0C6R3F7SN,A_LG
402-7740531-0208303,2023-06-16,LEATHERGIFTSBP18193067,1,B07S9YPK39,A_LG
405-8919367-4431534,2023-06-18,FLYWC6081,1,B0C6R3F7SN,A_LG
404-8207317-1785924,2023-06-18,FLYWC6081,1,B0C6R3F7SN,A_LG
