Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT109635293,Sat Apr 29 09:28:57 IST 2023,4.62419E+11,LWHK2020103,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,993,Defective/Damage Product received,Received damaged,RVP,Back Pack with Zip-Closure ,https://assets.ajio.com/medias/sys_master/root/20220530/NMi9/6294ac42f997dd03e245abe2/-462418629-grey-MODEL.jpg
RT109541455,Fri Apr 28 18:24:24 IST 2023,4.62418E+11,LWOB19201079,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,1310,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/VUkz/6294ac5aaeb26921aff33da1/-462418269-brown-MODEL.jpg
RT109517979,Fri Apr 28 17:52:51 IST 2023,4.6252E+11,LWBP20213016,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,475,Did not like the product,Did not like the product,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20220530/HXVI/6294ac88f997dd03e245b4d7/-462519756-black-MODEL.jpg
RT109475321,Thu Apr 27 23:19:13 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,534,Defective/Damage Product received,Received defective merchandise,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT109409917,Thu Apr 27 20:04:16 IST 2023,4.62419E+11,LWHK2020102,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,840,Did not like the product,Did not like color,RVP,Textured Back Pack,https://assets.ajio.com/medias/sys_master/root/20220530/5MLl/6294ac4ff997dd03e245adc1/-462418613-black-MODEL.jpg
RT109393646,Thu Apr 27 15:26:19 IST 2023,4.62418E+11,LWOB19201079,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,882,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/VUkz/6294ac5aaeb26921aff33da1/-462418269-brown-MODEL.jpg
RT109287247,Thu Apr 27 10:14:11 IST 2023,4.62462E+11,LWWC16176140,8.90537E+12,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,486,Others,Others,Self Ship Without Shipping Charge,Unisex 6 Slots Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20220530/OCbk/6294ac55f997dd03e245aec4/-462462246-black-MODEL.jpg
RT109318703,Wed Apr 26 20:42:32 IST 2023,4.62418E+11,LWOB19201079,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,1310,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/VUkz/6294ac5aaeb26921aff33da1/-462418269-brown-MODEL.jpg
RT109261257,Wed Apr 26 13:52:41 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,366,Others,Others,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT109213938,Wed Apr 26 12:07:09 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,534,Did not like the product,Does not look good on me,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT109217764,Wed Apr 26 11:19:44 IST 2023,4.62418E+11,LWOB19201084,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,882,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/3MUr/6294acbaf997dd03e245bb5b/-462418267-multi-MODEL.jpg
RT109183878,Tue Apr 25 22:40:39 IST 2023,4.62291E+11,LWSB20213019,8.90537E+12,Men-Fashion Bags,LEATHER WORLD,1,493,Did not like the product,Not happy with product quality,RVP,Textured Sling Bag with Metal Accent,https://assets.ajio.com/medias/sys_master/root/20220530/aybC/6294ac27aeb26921aff33652/-462291061-brown-MODEL.jpg
RT109185050,Tue Apr 25 18:46:07 IST 2023,4.62277E+11,LWSB20213026,8.90537E+12,Men-Fashion Bags,LEATHER WORLD,1,566,Defective/Damage Product received,Product torn worn out,RVP,Messenger Bag with Embossed Logo,https://assets.ajio.com/medias/sys_master/root/20220530/9QBv/6294ac1aaeb26921aff33477/-462277476-brown-MODEL.jpg
RT109123569,Tue Apr 25 17:29:13 IST 2023,4.6252E+11,LWBP20213016,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,475,Did not like the product,Does not look good on me,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20220530/HXVI/6294ac88f997dd03e245b4d7/-462519756-black-MODEL.jpg
RT109100617,Tue Apr 25 15:24:14 IST 2023,4.62419E+11,LWHK2020103,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,993,Defective/Damage Product received,Received defective merchandise,RVP,Back Pack with Zip-Closure ,https://assets.ajio.com/medias/sys_master/root/20220530/NMi9/6294ac42f997dd03e245abe2/-462418629-grey-MODEL.jpg
RT109095354,Tue Apr 25 13:03:10 IST 2023,4.62314E+11,LWOB16171124,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,878,Did not like the product,Does not look good on me,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/7GGs/6294ac0ff997dd03e245a445/-462314114-brown-MODEL.jpg
RT109073883,Tue Apr 25 12:22:30 IST 2023,4.62588E+11,LWBP20213013,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,519,Wrong Item Shipped ,Wrong color delivered,RVP,Textured Messenger Bag,https://assets.ajio.com/medias/sys_master/root/20220530/2mNg/6294acc6f997dd03e245bcda/-462588222-grey-MODEL.jpg
RT108932580,Mon Apr 24 14:44:16 IST 2023,4.62218E+11,LWSB20213015,8.90537E+12,Men-Fashion Bags,LEATHER WORLD,1,420,Did not like the product,Did not like color,RVP,Leather Messenger Bag with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/8s8U/6294ac34aeb26921aff33823/-462218089-brown-MODEL.jpg
RT108910840,Mon Apr 24 13:24:16 IST 2023,4.62419E+11,LWHK2020102,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,668,Others,Found better product,RVP,Textured Back Pack,https://assets.ajio.com/medias/sys_master/root/20220530/5MLl/6294ac4ff997dd03e245adc1/-462418613-black-MODEL.jpg
