Order ID,Order date,Return request date,Return request status,Amazon RMA ID,Seller RMA ID,Label type,Label cost,Currency code,Return carrier,Tracking ID,Label to be paid by,A-to-z claim,Is prime,ASIN, Merchant SKU,Item Name,Return quantity,Return reason,In policy,Return type,Resolution,Invoice number,Return delivery date,Order Amount,Order quantity,SafeT Action reason,SafeT claim ID,SafeT claim state,SafeT claim creation time,SafeT claim reimbursement amount,Refunded Amount,Category
404-4932386-8475564,21-Dec-22,01-Jan-23,Approved,D9xFBWpKRRMA, ,AmazonPrePaidLabel,287.5,INR,ATS,5.13543E+11,Seller,N,Y,B0837TDP66,PRIME-LWHK2020102,Leather World Water-Resistant Polyester Convertible Duffel Bag & Rucksack for Men and Women Trekking Bag with Laptop Compartment Black,1,CR-SWITCHEROO,Y,Amazon CS,StandardRefund,IN-11165,09-Jan-23,806,1, , , , , ,806,gl_luggage
403-2405488-7177940,20-Dec-22,01-Jan-23,Approved,D1x1B7pvRRMA, ,AmazonPrePaidLabel,414,INR,ATS,5.13543E+11,Seller,N,Y,B08NXKVNQ1,PRIME-LWBP20213011,Fly Fashion Polyester Travel Cross Body Backpack Shoulder Chest Bag Lightweight Men and Women,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-11085,07-Jan-23,549,1, , , , , ,549,gl_luggage
403-8918126-2815504,29-Dec-22,01-Jan-23,Approved,DVxmBhpzRRMA, ,AmazonPrePaidLabel,138,INR,ATS,5.13543E+11,Seller,N,Y,B07KYQD52P,PRIME-LWWC16176105C,Leather World 8 Slots PU Leather Men Acrylic Display Glass Watch Organizer Box for Women (Black),1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-11698,09-Jan-23,699,1, , , , , ,699,gl_home
402-0434426-6525944,24-Dec-22,01-Jan-23,Approved,DGxMB7p2RRMA, ,AmazonPrePaidLabel,115,INR,ATS,5.13543E+11,Seller,N,Y,B07PGZWX1F,PRIME-LWWC16176114B,Leather World 8 Slots Vegan Leather Men Watch Box Organizer Case Women Storage Jewelry - Blue,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-11430,07-Jan-23,649,1, , , , , ,649,gl_watch
408-4679682-6068311,20-Dec-22,01-Jan-23,Approved,DwRDBVphRRMA, ,AmazonPrePaidLabel,0, ,ATS,5.13544E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-DAMAGED_BY_FC,Y,C-Returns,Replacement, ,11-Jan-23,699,1, , , , , ,699,gl_home
403-2357507-0253940,28-Dec-22,01-Jan-23,Approved,DJRXBXpZRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13543E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund,IN-11675,07-Jan-23,585,1, , , , , ,585,gl_watch
408-9847736-1689900,27-Dec-22,01-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21616E+11,Not Computed,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,UND-UNKNOWN,Y,Undelivered/Rejected,StandardRefund,IN-11586,05-Jan-23, , , , , , , , ,gl_watch
405-1760325-5185938,25-Dec-22,01-Jan-23,Approved,DCprBNpJRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13543E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-ORDERED_WRONG_ITEM,Y,C-Returns,StandardRefund,IN-11481,09-Jan-23,699,1, , , , , ,699,gl_home
407-7494433-7413917,29-Dec-22,01-Jan-23,Approved,DnpSBHpsRRMA, ,AmazonPrePaidLabel,207,INR,ATS,5.13542E+11,Seller,N,Y,B07HD9P9ST,PRIME-LWOB16171121,Leather World Vegan Leather Briefcase Laptop Office Bag for Men and Women with Padded Protection for 14 inch Laptop Brown,1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-11699, ,799,1,VALID_DIFF_ITEM_RECEIVED,85888-73191-4269463,GRANT,11-Jan-23,501.16, ,gl_shoes
407-4529556-0777966,24-Dec-22,01-Jan-23,Approved,DJpMB4pNRRMA, ,AmazonPrePaidLabel,69,INR,ATS,5.13542E+11,Seller,N,Y,B07RGHZ836,PRIME-LWBP19203068B,Leather World Vegan Leather 15.6 inch Travel Bag College Laptop Backpack with USB Charging Port for Men and Women,1,AMZ-PG-BAD-DESC,Y,C-Returns,StandardRefund,IN-11384, ,854,1, , , , , , ,gl_luggage
402-8444939-9530710,30-Dec-22,01-Jan-23,Approved,DwnTBCp5RRMA, ,AmazonPrePaidLabel,69,INR,ATS,1.49311E+13,Seller,N,Y,B082KXC17D,PRIME-LWDB19204063,Leather World 55 L Vegan Leather Large Travel Luggage Duffle Bag Sports Gym Bags Overnight Bag for Men and Women Black,1,AMZ-PG-APP-STYLE,Y,C-Returns,StandardRefund,IN-11801, ,1199,1, , , , , ,1199,gl_luggage
403-7596015-1628360,24-Dec-22,01-Jan-23,Approved,DRnXBRp8RRMA, ,AmazonPrePaidLabel,207,INR,ATS,5.13542E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund,IN-11385,07-Jan-23,585,1, , , , , ,585,gl_watch
407-6334516-0997948,22-Dec-22,01-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21546E+11,Not Computed,N,Y,B07SNP6SZD,PRIME-LWBP19203084,Leather World Vegan Leather Brown14 inch Laptop College Casual Backpack for Women Travel Bag,1,UND-UNKNOWN,Y,Undelivered,StandardRefund,IN-11274,05-Jan-23, , , , , , , , ,gl_luggage
405-0757004-0185123,27-Dec-22,01-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21631E+11,Not Computed,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-11591,04-Jan-23, , , , , , , , ,gl_watch
408-4423619-3833915,26-Dec-22,01-Jan-23,Approved,DznXB9pGRRMA, ,AmazonPrePaidLabel,0, ,ATS,5.13542E+11,Seller,N,Y,B07PHZ1JML,PRIME-LWWC16176059B,Leather World 8 Slots PU Leather Men Watch Box Display Organizer Case Women Storage Jewellery - Black,1,CR-DEFECTIVE,Y,C-Returns,Replacement, ,10-Jan-23,699,1, , , , , , ,gl_home
171-5456622-1531542,26-Dec-22,01-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21613E+11,Not Computed,N,Y,B084C52Z6M,PRIME-LWOB19201079,Leather World Vegan Leather Laptop Bag Premium 15.6 inch Laptop Briefcase Expandable Water-Resistant Shoulder Messenger Bag Computer Bag for Travel Business School Men and Women Brown,1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-11567,05-Jan-23, , , , , , , , ,gl_shoes
