return_id,order_item_id,fulfilment_type,return_requested_date,return_approval_date,return_status,return_reason,return_sub_reason,return_type,return_result,return_expectation,reverse_logistics_tracking_id,sku,fsn,product_title,quantity,return_completion_type,primary_pv_output,detailed_pv_output,final_condition_of_returned_product,tech_visit_sla,tech_visit_by_date,tech_visit_completion_datetime,tech_visit_completion_breach,return_completion_sla,return_complete_by_date,return_completion_date,return_completion_breach,return_cancellation_date,return_cancellation_reason
RI:12202707238902388807,OI:326978741679869100,Non FBF,,16-01-2023,completed,MISSING_ITEM,MISSING_ACCESSORY,customer_return,Replace,replace_expect,RTr:FMPR0387538194,SKU:LWHK2020103,,Leatherworld Adventure Hiking Bag trekking Bag Plus Duffel Bag Rucksack  - 45 L Black  Grey,1,,,,,,,,,,,2023-02-11,NotBreached,,MISSING_ITEM
RI:10102713662750730347,OI:326991398910190100,Non FBF,,24-01-2023,completed,Aged_beyond_Limit,Aged_beyond_Limit,courier_return,Refund,wait_refund,,SKU:LWHK2020105,,Leatherworld Adventure Stylish Water Resistance Trekking Hiking Travel Bag Rucksack  - 45 L Purple,1,,,,,,,,,,,2023-02-10,NotBreached,,Aged_beyond_Limit
RI:12302717559872488427,OI:427132394506446103,Non FBF,,28-01-2023,completed,DAMAGED_PRODUCT,DAMAGED_PRODUCT_RECEIVED,customer_return,Replace,replace_expect,RTr:FMPR0392092584,SKU:LWSB16173009,,Leatherworld Brown Sling Bag Cross body Sling Bag,1,,,,,,,,,,,2023-02-09,NotBreached,,DAMAGED_PRODUCT
RI:10302719356909523445,OI:327019832748942100,Non FBF,,30-01-2023,completed,order_cancelled,delivery_delayed,courier_return,Refund,wait_refund,RTr:FMPP1514362072,SKU:LWBP20213014DB,,Fly Fashion Grey  Black Men & Women Shoulder Bag - Extra Large 7 L Backpack Grey,1,,,,,,,,,,,2023-02-09,NotBreached,,order_cancelled
RI:12202719377664038440,OI:12713483630174100,Non FBF,,30-01-2023,completed,MISSHIPMENT,DIFFERENT_PRODUCT_RECEIVED,customer_return,Refund,wait_refund,RTr:FMPR0392639175,SKU:LWCL2203,,Leatherworld Formal  Party  Casual Pink  Clutch,1,,,,,,,,,,,2023-02-10,NotBreached,,MISSHIPMENT
RI:10102718854810886874,OI:22712055080943900,Non FBF,,30-01-2023,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2487679891,SKU:LWSB16173015SP,,Brown Sling Bag Messenger Sling Bag,1,Delivered,,,,,,,,,,2023-02-11,NotBreached,,Rejected_by_Customer
RI:10102719162092825250,OI:327140085943712100,Non FBF,,30-01-2023,completed,order_cancelled,delivery_time_long,courier_return,Refund,wait_refund,RTr:FMPC2492427571,SKU:LWBP20213012,,Fly Fashion Multicolor Shoulder Bag Sling Shoulder Cross Body Bag Men Women,1,,,,,,,,,,,2023-02-09,NotBreached,,order_cancelled
RI:12302719312439961826,OI:427117037491257100,Non FBF,,30-01-2023,completed,SIZE_FIT_ISSUES,SIZE_SMALLER,customer_return,Refund,wait_refund,RTr:FMPR0392668965,SKU:LWSB19203025,,Leatherworld Brown Sling Bag Cross body Messenger Bag,1,,,,,,,,,,,2023-02-12,NotBreached,,SIZE_FIT_ISSUES
RI:10102719483126850711,OI:327167997128709100,Non FBF,,30-01-2023,completed,order_cancelled,mind_changed,courier_return,Refund,wait_refund,RTr:FMPC2498859843,SKU:LWBP20213016,,Fly Fashion Black Shoulder Bag Shoulder Sling Bag Men Crossbody Backpack Women,1,,,,,,,,,,,2023-02-09,NotBreached,,order_cancelled
RI:12202719055018955485,OI:427126681154777100,Non FBF,,30-01-2023,completed,QUALITY_ISSUES,POOR_QUALITY,customer_return,Refund,wait_refund,RTr:FMPR0392446828,SKU:LWSB16173010B,,Leatherworld Tan Messenger Bag Cross body Sling Bag,1,,,,,,,,,,,2023-02-09,NotBreached,,QUALITY_ISSUES
RI:10202719872439914262,OI:427022822474727100,Non FBF,,31-01-2023,completed,order_cancelled,delivery_delayed,courier_return,Refund,wait_refund,RTr:FMPC2461401608,SKU:LWBP20213014,,Fly Fashion Grey  Black Shoulder Bag Shoulder Sling Bag Men Cross Body Women,1,,,,,,,,,,,2023-02-13,NotBreached,,order_cancelled
RI:10202720200653797516,OI:427103640217119100,Non FBF,,31-01-2023,completed,Returnasperclientinstructions,Returnasperclientinstructions,courier_return,Refund,wait_refund,RTr:FMPP1528093966,SKU:LWSB16173015,,Leatherworld Brown Sling Bag Cross Body Sling Bag,1,,,,,,,,,,,2023-02-12,NotBreached,,Returnasperclientinstructions
RI:10202719826660637737,OI:427109249154874101,Non FBF,,31-01-2023,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2484820212,SKU:LWOB19201083,,Leatherworld 16 inch Designer Laptop Office Bag Messenger Bag Brown  20 L,1,Delivered,,,,,,,,,,2023-02-09,NotBreached,,Rejected_by_Customer
RI:10102721154536224715,OI:327138812648076100,Non FBF,,01-02-2023,completed,Returnasperclientinstructions,Returnasperclientinstructions,courier_return,Refund,wait_refund,RTr:FMPP1533683258,SKU:LWSB21501SP,,Leatherworld Brown Sling Bag Messenger Sling Bag,1,,,,,,,,,,,2023-02-13,NotBreached,,Returnasperclientinstructions
RI:10302720953466237276,OI:327189492728723100,Non FBF,,01-02-2023,completed,order_cancelled,quality_issues,courier_return,Refund,wait_refund,RTr:FMPC2503973569,SKU:LWHK2020105,,Leatherworld Adventure Stylish Water Resistance Trekking Hiking Travel Bag Rucksack  - 45 L Purple,1,,,,,,,,,,,2023-02-09,NotBreached,,order_cancelled
RI:10202720843045297853,OI:427113170410209100,Non FBF,,01-02-2023,completed,order_cancelled,mind_changed,courier_return,Refund,wait_refund,RTr:FMPP1529904562,SKU:LWSB16173015,,Leatherworld Brown Sling Bag Cross Body Sling Bag,1,,,,,,,,,,,2023-02-11,NotBreached,,order_cancelled
RI:12202720044273077680,OI:427159468556234100,Non FBF,,01-02-2023,completed,MISSHIPMENT,WRONG_ACCESSORY_SHIPPED,customer_return,Replace,replace_expect,RTr:FMPR0393623179,SKU:LWWC16176059D,,Leatherworld Watch Storage Box Watch Organizer Watch case Watch Collection Set 8 Slot Watch Box Black  Holds 8 Watches,1,,,,,,,,,,,2023-02-13,NotBreached,,MISSHIPMENT
RI:12202720870308856651,OI:427158942926707100,Non FBF,,01-02-2023,completed,QUALITY_ISSUES,POOR_QUALITY,customer_return,Refund,wait_refund,RTr:FMPR0393311548,SKU:LWBP20213014,,Fly Fashion Grey  Black Shoulder Bag Shoulder Sling Bag Men Cross Body Women,1,,,,,,,,,,,2023-02-10,NotBreached,,QUALITY_ISSUES
RI:10102721397251521123,OI:327139503835519100,Non FBF,,02-02-2023,completed,Incomplete_Address,Incomplete_Address,courier_return,Refund,wait_refund,RTr:FMPC2492414711,SKU:36LWGW2214SP,,Leatherworld Women Casual  Evening  Party  Formal Brown Genuine Leather Belt,1,Delivered,,,,,,,,,,2023-02-09,NotBreached,,Incomplete_Address
RI:10202721752048858040,OI:327202379164948100,Non FBF,,02-02-2023,completed,order_cancelled,quality_issues,courier_return,Refund,wait_refund,RTr:FMPC2507662376,SKU:LWBP20213016,,Fly Fashion Black Shoulder Bag Shoulder Sling Bag Men Crossbody Backpack Women,1,,,,,,,,,,,2023-02-11,NotBreached,,order_cancelled
RI:10202721574657131223,OI:427149068715249100,Non FBF,,02-02-2023,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2495519989,SKU:LWBP20213014,,Fly Fashion Grey  Black Shoulder Bag Shoulder Sling Bag Men Cross Body Women,1,Delivered,,,,,,,,,,2023-02-12,NotBreached,,Rejected_by_Customer
