seller_id,warehouse_id,model,myntra_sku_code,seller_sku_code,style_id,sku_id,brand,order_created_date,inscanned_on,fmpu_date,order_delivered_date,return_created_date,refunded_date,order_rto_date,is_refunded,exchange_id,order_id,order_group_id,order_line_id,seller_order_id,type,status,store_packet_id,seller_packet_id_fk,quantity,return_id,return_mode,return_reason,return_status,forward_tracking_number,return_tracking_number,master_bag_id,LMDO_status,lmdo_last_modified_on,Gatepass_Id,Gatepass_Status,Gatepass_Type,Gatepass_LastModified
12566,17264,PPMP,LTWDBELT59709606,LWGW2203,19274548,59709606,Leather World,05-12-2022,07-12-2022,06-12-2022,12-12-2022,2023-01-11,11-01-2023,,1,7236363952,7182580653,4802654308,9182555805,a9c0930a-e99c-49aa-a726-360e0b9f45ae,Return,Ret Delivered,7182580653,,1,4309377275,OPEN_BOX_PICKUP,,DLS,MYNP0041227344,MYNR0023986173,255666954,DELIVERED,2023-02-02,,,,
12566,17264,PPMP,LTWDHDBG40212784,40212784,11557750,40212784,Leather World,05-12-2022,07-12-2022,06-12-2022,10-12-2022,2023-01-05,06-01-2023,,1,,7183211873,4803029412,9183187028,54b807f9-1a2d-44da-b65f-c470e4be8d0e,Return,Ret Delivered,7183211873,,1,4308272004,OPEN_BOX_PICKUP,Received a poor quality product,DLS,ML1208094255,ML1254139739,253780428,DELIVERED,2023-01-14,,,,
12566,17264,PPMP,LTWDRGNR47981246,47981246,14453606,47981246,Leather World,05-12-2022,07-12-2022,06-12-2022,,,,02-01-2023,,,7182730540,4802744395,9182705694,aaba3f20-e3d2-45a1-bc78-e2e062fc71a0,RTO,Delivered,7182730540,,1,,,,,644941613,,254527526,DELIVERED,2023-01-21,,,,
12566,17264,PPMP,LTWDDFBG45356535,45356535,13074238,45356535,Leather World,08-12-2022,10-12-2022,09-12-2022,13-12-2022,2023-01-03,11-01-2023,,1,,7189597842,4805816581,9189573042,dd89af99-bd7e-41dd-a3b2-6b861d1552c4,Return,Ret Delivered,7189597842,,1,4307740741,CLOSED_BOX_PICKUP,Product image was better than the actual product,DLS,1.32E+11,1.32E+11,253864770,DELIVERED,2023-01-16,,,,
12566,17264,PPMP,LTWDHDBG40198590,40198590,11554206,40198590,Leather World,11-12-2022,16-12-2022,15-12-2022,16-12-2022,2023-01-02,02-01-2023,,1,,7198796435,4809840248,9198771676,833adad9-4ee4-4658-b844-db1846a40a30,Return,Ret Delivered,7198796435,,1,4307471353,OPEN_BOX_PICKUP,Size is too Large,DLS,ML1218982910,ML1249792454,253097225,DELIVERED,2023-01-09,,,,
12566,17264,PPMP,LTWDBELT63470230,38LWGW2213,20319762,63470230,Leather World,11-12-2022,16-12-2022,15-12-2022,20-12-2022,2023-01-06,07-01-2023,,1,,7199457849,4810172274,9199433091,929c4c86-7714-4cf9-a3c5-db9df7ac8af7,Return,Ret Delivered,7199457849,,1,4308512674,OPEN_BOX_PICKUP,Size is too Large,DLS,ML1218983637,ML1255462022,254526852,DELIVERED,2023-01-21,,,,
12566,17264,PPMP,FLFSWAPO60531920,FLYWP2202,19496408,60531920,Fly Fashion,11-12-2022,16-12-2022,15-12-2022,16-12-2022,2023-01-04,04-01-2023,,1,,7199424687,4810155667,9199399929,73b91c0f-81f0-45a2-81f7-ad0296769956,Return,Ret Delivered,7199424687,,1,4307940192,OPEN_BOX_PICKUP,Different product was delivered,DLS,ML1218984484,ML1252217638,253372749,DELIVERED,2023-01-10,,,,
12566,17264,PPMP,LTWDBAPK34555062,34555062,9890071,34555062,Leather World,12-12-2022,16-12-2022,15-12-2022,20-12-2022,2023-01-01,01-01-2023,,1,,7200861638,4810835545,9200836886,101a042b-24d6-4295-a2f1-c9b8b7c08b5a,Return,Ret Delivered,7200861638,,1,4307295997,OPEN_BOX_PICKUP,Product image was better than the actual product,DLS,ML1218984692,ML1249221722,255344921,DELIVERED,2023-01-30,,,,
12566,17264,PPMP,LTWDBAPK39193458,39193458,11313508,39193458,Leather World,12-12-2022,14-12-2022,13-12-2022,18-12-2022,2023-01-01,03-01-2023,,1,,7202499295,4811726202,9202474558,566f1d29-fc53-4c5c-8045-705367da8817,Return,Ret Delivered,7202499295,,1,4307367832,OPEN_BOX_PICKUP,Defective product was delivered,DLS,ML1220982713,ML1249522010,253603439,DELIVERED,2023-01-12,,,,
12566,17264,PPMP,LTWDBAPK39193458,39193458,11313508,39193458,Leather World,14-12-2022,16-12-2022,15-12-2022,16-12-2022,2023-01-11,11-01-2023,,1,,7205863673,4813540809,9205838952,4e3461fa-48d7-49e1-9345-78fc801534b5,Return,Ret Delivered,7205863673,,1,4309341459,OPEN_BOX_PICKUP,It did not look good on me,DLS,ML1225145691,ML1260240794,254169617,DELIVERED,2023-01-18,,,,
12566,17264,PPMP,LTWDBELT64519998,LWGW2237,20612822,64519998,Leather World,15-12-2022,17-12-2022,,,,,01-01-2023,,,7206940323,4814126479,9206915615,56b8471f-8384-4375-9780-64d1520d33c5,RTO,Delivered,7206940323,,1,,,,,MYNC0046780377,,253615875,DELIVERED,2023-01-12,,,,
12566,17264,PPMP,LTWDLABA45355371,45355371,13073690,45355371,Leather World,16-12-2022,17-12-2022,,,,,02-01-2023,,,7208394717,4814926882,9208370013,4b37fdfa-2ca8-4cb5-bc6d-e9b077fba6a9,RTO,Delivered,7208394717,,1,,,,,644946092,,253699734,DELIVERED,2023-01-13,,,,
12566,17264,PPMP,LTWDBELT63467278,36LWGW2205,20318952,63467278,Leather World,16-12-2022,18-12-2022,17-12-2022,19-12-2022,2023-01-07,08-01-2023,,1,,7211251658,4816392125,9211226958,a2f0f992-de52-4ef4-aba1-b53fba613258,Return,Ret Delivered,7211251658,,1,4308657534,OPEN_BOX_PICKUP,Received a poor quality product,DLS,ML1229256742,ML1256433458,253779756,DELIVERED,2023-01-14,,,,
12566,17264,PPMP,LTWDWHOG40373826,40373826,11616936,40373826,Leather World,16-12-2022,18-12-2022,17-12-2022,22-12-2022,2023-01-03,04-01-2023,,1,,7209087365,4815305238,9209062665,8fd400d6-cf1c-4666-bc6d-4fcad5ddff96,Return,Ret Delivered,7209087365,,1,4307785603,OPEN_BOX_PICKUP,I did not like the fit,DLS,MYNC0046882797,MYNR0023744690,254171143,DELIVERED,2023-01-18,,,,
12566,17264,PPMP,LTWDWHOG40373826,40373826,11616936,40373826,Leather World,16-12-2022,17-12-2022,,17-12-2022,2023-01-03,05-01-2023,,1,,7208527285,4814998706,9208502584,1f1ade23-5489-4831-9e62-735acd25624e,Return,Ret Delivered,9347243833,,1,4307864447,OPEN_BOX_PICKUP,Size is too Large,DLS,ML1226990306,ML1251951883,253603439,DELIVERED,2023-01-12,,,,
12566,17264,PPMP,LTWDBELT63515092,30LWGW2215,20332104,63515092,Leather World,17-12-2022,18-12-2022,17-12-2022,21-12-2022,2023-01-05,23-03-2023,,1,,7211289437,4816406989,9211264749,ae6ce6c1-5228-4230-897d-488932094aee,Return,Ret Delivered,7211289437,,1,4308294122,OPEN_BOX_PICKUP,Different product was delivered,DLS,MYNP0042335893,MYNR0023827560,260617575,DELIVERED,2023-03-31,,,,
12566,17264,PPMP,LTWDLABA33552692,33552692,8900071,33552692,Leather World,19-12-2022,20-12-2022,19-12-2022,23-12-2022,2023-01-16,21-01-2023,,1,,7213202397,4817623669,9213177717,eb550419-8a77-49bd-b01d-fc792526ce51,Return,Ret Delivered,7213202397,,1,4310553311,CLOSED_BOX_PICKUP,,DLS,1.32E+11,1.32E+11,255219872,DELIVERED,2023-01-28,,,,
12566,17264,PPMP,LTWDHDBG40198590,40198590,11554206,40198590,Leather World,20-12-2022,22-12-2022,21-12-2022,25-12-2022,2023-01-03,03-01-2023,,1,7227542252,7214777567,4818599757,9214752891,c3a10ec2-e6e8-4409-bf73-211efeb2e432,Return,Ret Delivered,7214777567,,1,4307763108,OPEN_BOX_PICKUP,,DLS,ML1235964762,ML1251460196,253780428,DELIVERED,2023-01-14,,,,
12566,17264,PPMP,LTWDHDBG40198590,40198590,11554206,40198590,Leather World,21-12-2022,23-12-2022,22-12-2022,26-12-2022,2023-01-02,03-01-2023,,1,,7215723950,4819184058,9215699277,ae750adf-e149-4b42-b89d-409d3f3b675b,Return,Ret Delivered,7215723950,,1,4307576024,OPEN_BOX_PICKUP,Size is too Large,DLS,ML1237549895,ML1250598595,253780428,DELIVERED,2023-01-14,,,,
12566,17264,PPMP,LTWDWHOG45528578,45528578,13168678,45528578,Leather World,22-12-2022,24-12-2022,23-12-2022,25-12-2022,2023-01-12,13-01-2023,,1,,7217317620,4820201005,9217292953,0c7ce10f-fec2-4eaf-88ce-77b1c77c257d,Return,Ret Delivered,7217317620,,1,4309734569,OPEN_BOX_PICKUP,Generic Return Reason,DLS,ML1238953553,ML1262370872,254395327,DELIVERED,2023-01-20,,,,
12566,17264,PPMP,LTWDRGNR47981246,47981246,14453606,47981246,Leather World,22-12-2022,24-12-2022,23-12-2022,27-12-2022,2023-01-01,03-01-2023,,1,,7217510030,4820329783,9217485362,49e47bd8-1730-4da2-87bf-7a73d30b69d1,Return,Ret Delivered,7217510030,,1,4307407102,OPEN_BOX_PICKUP,Received a poor quality product,DLS,MYNC0047335511,MYNR0023681954,253919421,DELIVERED,2023-01-16,,,,
12566,17264,PPMP,LTWDBAPK47910202,47910202,14431596,47910202,Leather World,22-12-2022,24-12-2022,23-12-2022,02-01-2023,2023-01-02,03-01-2023,,1,,7217451682,4820290977,9217427013,00a41b8b-4b09-4c88-b885-4ecb349399a6,Return,Ret Delivered,7217451682,,1,4307551039,OPEN_BOX_PICKUP,Defective product was delivered,DLS,ML1238954796,ML1250486719,253683324,DELIVERED,2023-01-13,,,,
12566,17264,PPMP,LTWDWHOG39274144,39274144,11333914,39274144,Leather World,22-12-2022,24-12-2022,23-12-2022,29-12-2022,2023-01-02,03-01-2023,,1,,7217028067,4820011382,9217003398,972263a0-4836-430f-8593-87acc20b4e82,Return,Ret Delivered,7217028067,,1,4307507945,OPEN_BOX_PICKUP,Product looked old,DLS,MYNP0042797871,MYNR0023699884,253919421,DELIVERED,2023-01-16,,,,
12566,17264,PPMP,LTWDRGNR47981246,47981246,14453606,47981246,Leather World,23-12-2022,24-12-2022,23-12-2022,,,,02-01-2023,,,7217841296,4820531497,9217816630,290c8675-6abc-48a1-baf7-7e87d5eded02,RTO,Delivered,7217841296,,1,,,,,MYNC0047334914,,254877894,DELIVERED,2023-01-25,,,,
