order_id,return_date,tracking_id,platformID,sku,return_reason,return_sub_reason,return_delivery_date,platform,reason_category
404-4932386-8475564,2023-01-01,5.13543E+11,B0837TDP66,PRIME-LWHK2020102,CR-SWITCHEROO,0,2023-01-09,A,Other reasons
403-2405488-7177940,2023-01-01,5.13543E+11,B08NXKVNQ1,PRIME-LWBP20213011,CR-NOT_COMPATIBLE,0,2023-01-07,A,Wrong item delivered
403-8918126-2815504,2023-01-01,5.13543E+11,B07KYQD52P,PRIME-LWWC16176105C,CR-QUALITY_UNACCEPTABLE,0,2023-01-09,A,Product Quality
402-0434426-6525944,2023-01-01,5.13543E+11,B07PGZWX1F,PRIME-LWWC16176114B,CR-NOT_COMPATIBLE,0,2023-01-07,A,Wrong item delivered
408-4679682-6068311,2023-01-01,5.13544E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-DAMAGED_BY_FC,0,2023-01-11,A,Shipping/delivery issues
403-2357507-0253940,2023-01-01,5.13543E+11,B08LT1D3TY,PRIME-LWWC20216140,CR-DEFECTIVE,0,2023-01-07,A,Product Quality
408-9847736-1689900,2023-01-01,3.21616E+11,B08LT1D3TY,PRIME-LWWC20216140,UND-UNKNOWN,0,2023-01-05,A,Other reasons
405-1760325-5185938,2023-01-01,5.13543E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-ORDERED_WRONG_ITEM,0,2023-01-09,A,Wrong item delivered
407-7494433-7413917,2023-01-01,5.13542E+11,B07HD9P9ST,PRIME-LWOB16171121,CR-QUALITY_UNACCEPTABLE,0,,A,Product Quality
407-4529556-0777966,2023-01-01,5.13542E+11,B07RGHZ836,PRIME-LWBP19203068B,AMZ-PG-BAD-DESC,0,,A,Other reasons
402-8444939-9530710,2023-01-01,1.49311E+13,B082KXC17D,PRIME-LWDB19204063,AMZ-PG-APP-STYLE,0,,A,Other reasons
403-7596015-1628360,2023-01-01,5.13542E+11,B08LT1D3TY,PRIME-LWWC20216140,CR-DEFECTIVE,0,2023-01-07,A,Product Quality
408-4423619-3833915,2023-01-01,5.13542E+11,B07PHZ1JML,PRIME-LWWC16176059B,CR-DEFECTIVE,0,2023-01-10,A,Product Quality
405-0555843-9854702,2023-01-02,5.13544E+11,B08LT1D3TY,PRIME-LWWC20216140,CR-DEFECTIVE,0,,A,Product Quality
405-0259218-6291571,2023-01-02,5.13544E+11,B07PDXGR22,PRIME-LWWC16176092B,CR-DEFECTIVE,0,,A,Product Quality
171-9093666-9817161,2023-01-02,5.13544E+11,B08LT1D3TY,PRIME-LWWC20216140,AMZ-PG-WJ-TOO-LARGE,0,2023-01-07,A,Size/fit issues
171-6417409-1235524,2023-01-02,5.13544E+11,B08LT1D3TY,PRIME-LWWC20216140,AMZ-PG-WJ-TOO-LARGE,0,2023-01-06,A,Size/fit issues
405-7277105-7753149,2023-01-02,5.13544E+11,B0779969J9,PRIME-LWWC16176135,AMZ-PG-WJ-TOO-SMALL,0,2023-01-09,A,Size/fit issues
402-1876363-4375563,2023-01-02,5.13544E+11,B07PHZ1JML,PRIME-LWWC16176059B,AMZ-PG-WJ-TOO-SMALL,0,2023-01-07,A,Size/fit issues
408-2191026-4966709,2023-01-02,5.13544E+11,B0BGSCV94W,28LWLB22210,CR-SWITCHEROO,0,,A,Other reasons
408-1198382-7350756,2023-01-02,5.13544E+11,B08LT1D3TY,PRIME-LWWC20216140,CR-DEFECTIVE,0,2023-01-09,A,Product Quality
407-6800810-3275518,2023-01-02,5.13544E+11,B084C2JB4Z,PRIME-LWOB19201078,CR-SWITCHEROO,0,2023-01-09,A,Other reasons
