Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT116676667,Wed Jun 21 09:20:41 IST 2023,462389282002,FLYBP2101,8905372049331,Men-Backpacks,FLY FASHION,1,630.0,Did not like the product,Not happy with product quality,RVP,Everyday Backpack with Branding,https://assets.ajio.com/medias/sys_master/root/20230602/xZ6R/6479a2c6d55b7d0c6344a5a3/-462389282-blue-MODEL.jpg
RT116655518,Tue Jun 20 21:42:31 IST 2023,462364273001,LWDB19204061,8905371649235,Men-Travel Bags,LEATHER WORLD,1,893.0,Did not like the product,Does not look good on me,RVP,Textured Travel Bag,https://assets.ajio.com/medias/sys_master/root/20230602/F5xX/64797f5942f9e729d715db15/-462364273-brown-MODEL.jpg
RT116633787,Tue Jun 20 20:45:15 IST 2023,462389200001,LWBP19203084,8905372938819,Men-Backpacks,LEATHER WORLD,1,733.0,Did not like the product,Does not look good on me,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/42Xk/64798c3442f9e729d7179a82/-462389200-multi-MODEL.jpg
RT116578829,Tue Jun 20 19:01:19 IST 2023,462519756001,LWBP20213016,8905372049171,Men-Fashion Bags,FLY FASHION,1,475.0,Did not like the product,Does not look good on me,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20230602/0whN/6479a39c42f9e729d71ab7b0/-462519756-black-MODEL.jpg
RT116571934,Tue Jun 20 18:12:21 IST 2023,462364826001,LWOB16171122,8905371649143,Men-Laptop Bags,LEATHER WORLD,1,733.0,Did not like the product,Did not like color,RVP,Textured Laptop Bag,https://assets.ajio.com/medias/sys_master/root/20230602/4IKU/6479982cd55b7d0c63434c2e/-462364826-brown-MODEL.jpg
RT116574562,Tue Jun 20 16:47:37 IST 2023,462329286001,LWOB16171120,8905371649167,Men-Laptop Bags,LEATHER WORLD,1,733.0,Others,Product not required anymore,RVP,Textured Laptop Bag,https://assets.ajio.com/medias/sys_master/root/20230602/kgBa/64797fad42f9e729d715e67d/-462329286-black-MODEL.jpg
RT116552721,Tue Jun 20 15:36:40 IST 2023,462329710001,LWDB19204084,8905371649266,Men-Travel Bags,LEATHER WORLD,1,848.0,Did not like the product,Does not look good on me,RVP,Textured Duffle Bag,https://assets.ajio.com/medias/sys_master/root/20230602/y5fd/64797f2bd55b7d0c633fd06d/-462329710-brown-MODEL.jpg
RT116591272,Tue Jun 20 15:25:49 IST 2023,465631157001,LWHK2207,8905735616149,Men-Backpacks,LEATHER WORLD,1,562.0,Others,Want to change style color,Self Ship Without Shipping Charge,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT116562545,Tue Jun 20 15:04:36 IST 2023,462462270001,LWWC16176113,8905372446208,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,443.0,Size/Colour Issue,Size is larger than expected,RVP,Unisex 6 Slots Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20230602/qWYA/64799b83d55b7d0c6343bebf/-462462270-blue-MODEL.jpg
RT116534301,Tue Jun 20 10:25:22 IST 2023,462418269001,LWOB19201079,8905372589639,Men-Laptop Bags,LEATHER WORLD,1,882.0,Size/Colour Issue,Does not fit well,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/fsrv/6479957d42f9e729d718e1ea/-462418269-brown-MODEL.jpg
