order_id,return_date,tracking_id,platformID,sku,return_reason,return_sub_reason,return_delivery_date,platform,reason_category
402-6507851-0919548,2023-06-21, ,B084MK46HJ,PRIME-LWWC16176140,AMZ-PG-WJ-TOO-SMALL,0,,A,Size/fit issues
405-5539861-7249137,2023-06-21,5.13729E+11,B084MK46HJ,LWWC20216140,CR-SWITCHEROO,0,,A,Other reasons
408-4403838-3783568,2023-06-21,5.13728E+11,B08NXL9F1P,PRIME-LWBP20213012,AMZ-PG-APP-TOO-SMALL,0,,A,Size/fit issues
407-1993910-8790708,2023-06-21,5.13728E+11,B07P7Q1SZK,PRIME-LWOB16171120B,AMZ-PG-APP-TOO-LARGE,0,,A,Size/fit issues
407-8832328-3768335,2023-06-21,5.13728E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-QUALITY_UNACCEPTABLE,0,,A,Product Quality
405-2761392-6628353,2023-06-20,5.13728E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-DAMAGED_BY_FC,0,,A,Shipping/delivery issues
407-9010933-9591568,2023-06-20,5.13728E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-QUALITY_UNACCEPTABLE,0,,A,Product Quality
402-8597490-5542703,2023-06-20,5554458591,B07MMGBKKR,LWWC16176053C,CR-QUALITY_UNACCEPTABLE,0,,A,Product Quality
406-0600494-2938703,2023-06-19,5.13727E+11,B07BQ23CM6,PRIME-LWWC16176113,AMZ-PG-WJ-TOO-SMALL,0,,A,Size/fit issues
403-0620892-8321112,2023-06-19,5.13729E+11,B07P6L66GP,PRIME-LWOB16171121B,CR-DEFECTIVE,0,,A,Product Quality
405-4361599-6445142,2023-06-19,5.13727E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-QUALITY_UNACCEPTABLE,0,,A,Product Quality
408-4088095-2180303,2023-06-19,5.13727E+11,B06X9QGP8N,PRIME-LWWC20216059,CR-SWITCHEROO,0,,A,Other reasons
404-0943306-6381138,2023-06-19,5.13727E+11,B0837TDP66,PRIME-LWHK2020102,AMZ-PG-APP-TOO-SMALL,0,,A,Size/fit issues
404-7967223-3331539,2023-06-19,5.13727E+11,B07PFV29ZM,PRIME-LWWC16176104B,CR-QUALITY_UNACCEPTABLE,0,,A,Product Quality
403-7428995-6609122,2023-06-19,5.13727E+11,B084MK46HJ,LWWC16176140,CR-DEFECTIVE,0,,A,Product Quality
406-4724134-1032357,2023-06-19,5.13727E+11,B084MK46HJ,LWWC16176140,AMZ-PG-WJ-TOO-SMALL,0,,A,Size/fit issues
405-7695068-2385926,2023-06-19,5.13727E+11,B0779BZV2M,LWWC16176094,AMZ-PG-WJ-TOO-LARGE,0,,A,Size/fit issues
171-9511907-6733130,2023-06-19, ,B07PFV29ZM,PRIME-LWWC16176104B,CR-MISSING_PARTS,0,,A,Shipping/delivery issues
402-9875535-5517945,2023-06-19,5.13729E+11,B0779BZV2M,PRIME-LWWC16176094,CR-DEFECTIVE,0,,A,Product Quality
