return_id,order_item_id,fulfilment_type,return_requested_date,return_approval_date,return_status,return_reason,return_sub_reason,return_type,return_result,return_expectation,reverse_logistics_tracking_id,sku,fsn,product_title,quantity,return_completion_type,primary_pv_output,detailed_pv_output,final_condition_of_returned_product,tech_visit_sla,tech_visit_by_date,tech_visit_completion_datetime,tech_visit_completion_breach,return_completion_sla,return_complete_by_date,return_completion_date,return_completion_breach,return_cancellation_date,return_cancellation_reason
RI:10102824775797667202,OI:328212837268514100,Non FBF,,2023-06-01,completed,order_cancelled,delivery_time_long,courier_return,Refund,wait_refund,RTr:FMPC2789405368,SKU:OB1130Z,,Leatherworld 15.6 inch Laptop Bag Office Bag Large Briefcase - For Men & Women Brown,1,,,,,,,,,,,2023-06-07,NotBreached,,order_cancelled
RI:10202824749744158150,OI:328229230795309100,Non FBF,,2023-06-01,completed,order_cancelled,mind_changed,courier_return,Refund,wait_refund,RTr:FMPC2793964884,SKU:LWDB19204062,,Leatherworld Duffel Bag Luggage Travel Bag Duffel Without Wheels,1,,,,,,,,,,,2023-06-06,NotBreached,,order_cancelled
RI:10102824184594094748,OI:12817678982834000,Non FBF,,2023-06-01,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2778909519,SKU:LWSB19203024SP,,Black Sling Bag Messenger Sling Bag,1,Delivered,,,,,,,,,,2023-06-10,NotBreached,,Rejected_by_Customer
RI:12302824877072817504,OI:328148426409434100,Non FBF,,2023-06-01,completed,QUALITY_ISSUES,POOR_QUALITY,customer_return,Refund,wait_refund,RTr:FMPR0441696030,SKU:LWHK2020103,,Leatherworld Adventure Hiking Bag trekking Bag Plus Duffel Bag Rucksack  - 45 L Black  Grey,1,,,,,,,,,,,2023-06-10,NotBreached,,QUALITY_ISSUES
RI:12102824501488390448,OI:328200355804780100,Non FBF,,2023-06-01,completed,QUALITY_ISSUES,POOR_QUALITY,customer_return,Refund,wait_refund,RTr:FMPR0441467601,SKU:LWWC16176059D,,Leatherworld Watch Storage Box Watch Organizer Watch case Watch Collection Set 8 Slot Watch Box Black  Holds 8 Watches,1,,,,,,,,,,,2023-06-14,NotBreached,,QUALITY_ISSUES
RI:10102824591156797068,OI:428244106130557100,Non FBF,,2023-06-01,completed,order_cancelled,expensive_now,courier_return,Refund,wait_refund,RTr:FMPP1702395295,SKU:LWDB19204062,,Leatherworld Duffel Bag Luggage Travel Bag Duffel Without Wheels,1,,,,,,,,,,,2023-06-01,NotBreached,,order_cancelled
RI:12302824806741097057,OI:12822360195822900,Non FBF,,2023-06-01,cancelled,SIZE_FIT_ISSUES,SIZE_SMALLER,customer_return,Refund,wait_refund,RTr:FMPR0441677531,SKU:LWSB19203026SP,,Tan Sling Bag Messenger Sling Bag,1,,,,,,,,,,,,NotBreached,01-06-2023,SIZE_FIT_ISSUES
RI:10302824705087254301,OI:428172126823158100,Non FBF,,2023-06-01,completed,order_cancelled,quality_issues,courier_return,Refund,wait_refund,RTr:FMPC2778536121,SKU:LWBP20213016,,Fly Fashion Black Shoulder Bag Shoulder Sling Bag Men Crossbody Backpack Women,1,,,,,,,,,,,2023-06-07,NotBreached,,order_cancelled
RI:12202824487645742642,OI:328198091413631100,Non FBF,,2023-06-01,completed,QUALITY_ISSUES,POOR_QUALITY,customer_return,Refund,wait_refund,RTr:FMPR0441453239,SKU:Middle chain blue,,Fly Fashion Blue Shoulder Bag Sling Shoulder Cross Body Bag Men Women,1,,,,,,,,,,,2023-06-07,NotBreached,,QUALITY_ISSUES
RI:10302824551957435551,OI:22816836978762900,Non FBF,,2023-06-01,completed,order_cancelled,expensive_now,courier_return,Refund,wait_refund,RTr:FMPC2778566761,SKU:FLYSB202105SP,,Black Sling Bag Messenger Sling Bag,1,,,,,,,,,,,2023-06-07,NotBreached,,order_cancelled
RI:12202824985320203612,OI:12819492033398700,Non FBF,,2023-06-01,completed,QUALITY_ISSUE,QUALITY_NOT_AS_EXPECTED,customer_return,Refund,wait_refund,RTr:FMPR0441759746,SKU:LWSB16173019SP,,Tan Sling Bag Messenger Sling Bag,1,,,,,,,,,,,2023-06-13,NotBreached,,QUALITY_ISSUE
RI:10102824337538362263,OI:428198332511791100,Non FBF,,2023-06-01,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2785178267,SKU:LWHK2020102,,Leatherworld Adventure Hiking Bag trekking Bag Plus Duffel Bag Rucksack  - 40 L Black  Yellow,1,Delivered,,,,,,,,,,2023-06-06,NotBreached,,Rejected_by_Customer
RI:12202824174423766720,OI:328215895077568100,Non FBF,,2023-06-01,completed,SIZE_FIT_ISSUES,SIZE_LARGER,customer_return,Refund,wait_refund,RTr:FMPR0441407696,SKU:LWSB16173008B,,Leatherworld Black Sling Bag Cross body Sling Bag,1,,,,,,,,,,,2023-06-05,NotBreached,,SIZE_FIT_ISSUES
RI:12202824759706504531,OI:428211379759474100,Non FBF,,2023-06-01,completed,SIZE_FIT_ISSUES,SIZE_SMALLER,customer_return,Refund,wait_refund,RTr:FMPR0441671301,SKU:50FLYGW2245,,Leatherworld Men Casual  Evening  Party  Formal Black Genuine Leather Belt,1,,,,,,,,,,,2023-06-09,NotBreached,,SIZE_FIT_ISSUES
RI:10202824200800792112,OI:22818571562842300,Non FBF,,2023-06-01,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2781179287,SKU:LWSB19203024SP,,Black Sling Bag Messenger Sling Bag,1,Delivered,,,,,,,,,,2023-06-06,NotBreached,,Rejected_by_Customer
RI:10102824604446614230,OI:428238364188207100,Non FBF,,2023-06-01,completed,order_cancelled,quality_issues,courier_return,Refund,wait_refund,RTr:FMPP1702408298,SKU:50LWHB2205,,Leatherworld Men Casual  Evening  Party  Formal Black Genuine Leather Belt,1,,,,,,,,,,,2023-06-01,NotBreached,,order_cancelled
RI:10302824308558021688,OI:428221710792016100,Non FBF,,2023-06-01,completed,order_cancelled,not_available_at_home,courier_return,Refund,wait_refund,RTr:FMPC2791767706,SKU:LWSB19203021,,Leatherworld Black Sling Bag Cross body Sling Bag,1,,,,,,,,,,,2023-06-09,NotBreached,,order_cancelled
RI:10302824385469482585,OI:428205158106497100,Non FBF,,2023-06-01,completed,order_cancelled,expensive_now,courier_return,Refund,wait_refund,RTr:FMPC2786974790,SKU:LWBP20213015,,Fly Fashion Blue Shoulder Bag Shoulder Sling Bag Men Crossbody Backpack Women,1,,,,,,,,,,,2023-06-06,NotBreached,,order_cancelled
RI:10102824792082158504,OI:12824178432824200,Non FBF,,2023-06-01,completed,order_cancelled,not_available_at_home,courier_return,Refund,wait_refund,RTr:FMPC2796364208,SKU:FLYSB202105SP,,Black Sling Bag Messenger Sling Bag,1,,,,,,,,,,,2023-06-18,NotBreached,,order_cancelled
RI:10202824638649563174,OI:328240508631938100,Non FBF,,2023-06-01,completed,order_cancelled,mind_changed,courier_return,Refund,wait_refund,RTr:FMPP1702403289,SKU:LWHK2020103,,Leatherworld Adventure Hiking Bag trekking Bag Plus Duffel Bag Rucksack  - 45 L Black  Grey,1,,,,,,,,,,,2023-06-01,NotBreached,,order_cancelled
RI:10202824170726443316,OI:22817542988547100,Non FBF,,2023-06-01,completed,Rejected_by_Customer,Rejected_by_Customer,courier_return,Refund,wait_refund,RTr:FMPC2778547623,SKU:LWHK2020102SP,,Adventure Waterproof Trekking Bag Rucksack  - 55 L Black,1,Delivered,,,,,,,,,,2023-06-06,NotBreached,,Rejected_by_Customer
RI:12302824702475475267,OI:428195899113239100,Non FBF,,2023-06-01,completed,MISSHIPMENT,DIFFERENT_SIZE_RECEIVED,customer_return,Refund,wait_refund,RTr:FMPR0441585213,SKU:Middle chain blue,,Fly Fashion Blue Shoulder Bag Sling Shoulder Cross Body Bag Men Women,1,,,,,,,,,,,2023-06-07,NotBreached,,MISSHIPMENT
