Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category
402-6507851-0919548	18-Jun-2023	21-Jun-2023	Approved	DSNCx8pMRRMA	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B084MK46HJ	PRIME-LWWC16176140	Leather World 6 Slot Vegan Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black	1	AMZ-PG-WJ-TOO-SMALL	Y	C-Returns	StandardRefund	IN-2644	 	599.00	1	 	 	 	 	 	 	Watch
405-5539861-7249137	14-Jun-2023	21-Jun-2023	Approved	D340xvpWRRMA	 	AmazonPrePaidLabel	207.00	INR	ATS	513728512279	Seller	N	N	B084MK46HJ	LWWC20216140	Leather World 6 Slot Vegan Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	IN-2336	 	599.00	1	 	 	 	 	 	 	Watch
171-8759899-2302706	12-Jun-2023	21-Jun-2023	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	324534748185	Not Computed	N	N	B0779BZV2M	PRIME-LWWC16176094	Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-2156	 	 	 	 	 	 	 	 	 	Watch
408-4403838-3783568	18-Jun-2023	21-Jun-2023	Approved	D142xxplRRMA	 	AmazonPrePaidLabel	69.00	INR	ATS	513728469849	Seller	N	N	B08NXL9F1P	PRIME-LWBP20213012	Fly Fashion Polyester Travel Cross Body Backpack Shoulder Chest Bag Lightweight Men and Women	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	IN-2655	 	584.00	1	 	 	 	 	 	 	Luggage
407-1993910-8790708	10-Jun-2023	21-Jun-2023	Approved	Db4XxgpSRRMA	 	AmazonPrePaidLabel	345.00	INR	ATS	513728456122	Seller	N	N	B07P7Q1SZK	PRIME-LWOB16171120B	Leather World Vegan Leather Briefcase Laptop Office Bag for Men and Women with Padded Protection for 12 inch Laptop Black	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	IN-2001	 	949.00	1	 	 	 	 	 	 	Luggage
407-8832328-3768335	16-Jun-2023	21-Jun-2023	Approved	DyyWxLppRRMA	 	AmazonPrePaidLabel	207.00	INR	ATS	513728409517	Seller	N	N	B07PFV29ZM	PRIME-LWWC16176104B	Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-2544	 	799.00	1	 	 	 	 	 	 	Home
405-2761392-6628353	14-Jun-2023	20-Jun-2023	Approved	DS3vxMpWRRMA	 	AmazonPrePaidLabel	207.00	INR	ATS	513728142995	Seller	N	N	B07PFV29ZM	PRIME-LWWC16176104B	Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue	1	CR-DAMAGED_BY_FC	Y	C-Returns	StandardRefund	IN-2424	 	799.00	1	 	 	 	 	 	 	Home
407-9010933-9591568	17-Jun-2023	20-Jun-2023	Approved	DCkxxXpqRRMA	 	AmazonPrePaidLabel	103.50	INR	ATS	513728005481	Seller	N	N	B07PFV29ZM	PRIME-LWWC16176104B	Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	IN-2576	 	799.00	1	 	 	 	 	 	799.00	Home
402-8597490-5542703	15-Jun-2023	20-Jun-2023	Approved	D3kHxgpNRRMA	 	AmazonPrePaidLabel	115.00	INR	ATS	5554458591	Seller	N	N	B07MMGBKKR	LWWC16176053C	Leather World 12 Slots PU Leather Men Watch Box Acrylic Display Organizer Case Women Storage Jewellery - Brown	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-2506	 	1299.00	1	 	 	 	 	 	 	Home
408-7128231-8512319	12-Jun-2023	20-Jun-2023	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	324534746426	Not Computed	N	N	B0779BZV2M	LWWC16176094	Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-2179	 	 	 	 	 	 	 	 	 	Watch
407-5790798-0334750	12-Jun-2023	20-Jun-2023	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	324534749052	Not Computed	N	N	B07BQ23CM6	PRIME-LWWC16176113	Leather World Blue PU Leather 6 Slots Men Watch Box Organizer Case Holder Storage Box Women-Blue	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-2189	 	 	 	 	 	 	 	 	 	Watch
408-9189210-4070756	11-Jun-2023	20-Jun-2023	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	324515806118	Not Computed	N	N	B06X9QGP8N	PRIME-LWWC20216059	Leather World 8 Slots PU Leather Men Watch Box Display Organizer Case Women Storage Jewellery - Black	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-2067	 	 	 	 	 	 	 	 	 	Watch
406-0600494-2938703	13-Jun-2023	19-Jun-2023	Approved	DdDdxbp0RRMA	 	AmazonPrePaidLabel	414.00	INR	ATS	513727214860	Seller	N	N	B07BQ23CM6	PRIME-LWWC16176113	Leather World Blue PU Leather 6 Slots Men Watch Box Organizer Case Holder Storage Box Women-Blue	6	AMZ-PG-WJ-TOO-SMALL	Y	C-Returns	StandardRefund	IN-2261	 	2994.00	6	 	 	 	 	 	 	Watch
403-0620892-8321112	15-Jun-2023	19-Jun-2023	Approved	Ddghx5phRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	513728578305	Seller	N	N	B07P6L66GP	PRIME-LWOB16171121B	Leather World Vegan Leather Briefcase: 14 Inch Dark Brown Laptop Messenger Shoulder Office Bag with Padded Protection for Men and Women	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	 	899.00	1	 	 	 	 	 	 	Shoes
405-4361599-6445142	16-Jun-2023	19-Jun-2023	Approved	DPgmx1ppRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513726999133	Seller	N	N	B07PFV29ZM	PRIME-LWWC16176104B	Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	IN-2546	 	799.00	1	 	 	 	 	 	799.00	Home
